GBM.MES2	GBM.MES1	GBM.AC	GBM.OPC	GBM.NPC1	GBM.NPC2	HNSCC.PEMT	HNSCC.Epidif.1	HNSCC.Epidif.2	HNSCC.Stress	HNSCC.Hypoxia	melanoma.MITF.program	melanoma.AXL.program	melanoma.Inflammatory	ovarian.ifn
HILPDA	CHI3L1	CST3	BCAN	DLL3	STMN2	SERPINE1	IL1RN	LY6D	FOS	NDRG1	MITF	ANGPTL4	ATF3	CCBP2
ADM	ANXA2	S100B	PLP1	DLL1	CD24	TGFBI	SLPI	KRT16	ATF3	IGFBP3	TYR	FSTL3	FAM53C	TACSTD2
DDIT3	ANXA1	SLC1A3	GPR17	SOX4	RND3	MMP10	CLDN4	KRT6B	NR4A1	PTHLH	PMEL	GPC1	EGR3	OAS1
NDRG1	CD44	HEPN1	FIBIN	TUBB3	HMP19	LAMC2	S100A9	LYPD3	DUSP1	EGLN3	PLP1	TMSB10	NFKBIZ	IFI44L
HERPUD1	VIM	HOPX	LHFPL3	HES6	TUBB3	P4HA2	SPRR1B	KRT6C	ZFP36	BNIP3	GPR143	SH3BGRL3	SOCS3	MX1
DNAJB9	MT2A	MT3	OLIG1	TAGLN3	MIAT	PDPN	PVRL4	TYMP	PPP1R15A	NDUFA4L2	MLANA	PLAUR	FOSB	GPNMB
TRIB3	C1S	SPARCL1	PSAT1	NEU4	DCX	ITGA5	RHCG	FABP5	SGK1	ERO1L	STX7	NGFR	NNMT	IFIT3
ENO2	NAMPT	MLC1	SCRG1	MARCKSL1	NSG1	LAMA3	SDCBP2	SCO2	EGR1	P4HA1	IRF4	SEC14L2	SERTAD1	OAS2
AKAP12	EFEMP1	GFAP	OMG	CD24	ELAVL4	CDH13	S100A8	FGFBP1	ZC3H12A	SLC2A1	ERBB3	FOSL1	NR4A2	KRT23
SQSTM1	C1R	FABP7	APOD	STMN1	MLLT11	TNC	APOBEC3A	JUP	JUNB	ENO2	CDH1	SERPINE1	PAGE5	IFI6
MT1X	SOD2	BCAN	SIRT2	TCF12	DLX6-AS1	MMP2	GRHL1	IMP4	FOSB	HK2	GPNMB	IGFBP3	BTG2	MSLN
ATF3	IFITM3	PON2	TNR	BEX1	SOX11	EMP3	SULT2B1	DSC2	IER2	PGF	IGSF11	TNFRSF12A	KLF4	TXNIP
NAMPT	TIMP1	METTL7B	THY1	OLIG1	NREP	INHBA	ELF3	TMBIM1	NFKBIA	LDHA	SLC24A5	GBE1	DNAJB1	C15orf48
NRN1	SPP1	SPARC	PHYHIPL	MAP2	FNBP1L	LAMB3	KRT16	KRT14	NFKBIZ	PGK1	SLC45A2	AXL	EGR2	IFI44
SLC2A1	A2M	GATM	SOX2-OT	FXYD6	TAGLN3	VIM	PRSS8	C1QBP	HBEGF	PDK1	RAP2B	PHLDA2	CHI3L1	UPK3BL
BNIP3	S100A11	RAMP1	NKAIN4	PTPRS	STMN4	SEMA3C	MXD1	SFN	BTG2	DHRS3	ASAH1	MAP1B	NXT2	PTGES
LGALS3	MT1X	PMP2	LPPR1	MLLT11	DLX5	PRKCDBP	S100A7	S100A14	SOD2	DDIT4	MYO10	GEM	CDKN1A	LCN2
INSIG2	S100A10	AQP4	PTPRZ1	NPPA	SOX4	ANXA5	KRT6B	RAB38	CDKN1A	PVRL4	GRN	SLC22A4	SLC2A3	CD82
IGFBP3	FN1	DBI	VCAN	BCAN	MAP1B	DHRS7	LYPD3	GJB5	NCOA7	GPNMB	DOCK10	TYMP	IER3	SAT1
PPP1R15A	LGALS1	EDNRB	DBI	MEST	RBFOX2	ITGB1	TACSTD2	MRPL14	JUN	BIK	ACSL3	TREM1	NDRG1	VTCN1
VIM	S100A16	PTPRZ1	PMP2	ASCL1	IGFBPL1	ACTN1	CDKN1A	TRIM29	MYC	GJB6	SORT1	RIN1	PMAIP1	ITGB2
PLOD2	CLIC1	CLU	CNP	BTG2	STMN1	CXCR7	KLK11	ANXA8L2	SERTAD1	C4orf3	QPCT	S100A4	NR4A1	NCCRP1
GBE1	MGST1	PMP22	TNS3	DCX	HN1	ITGB6	GPRC5A	KRT6A	CCNL1	IGFBP2	S100B	COL6A2	MKNK2	CEACAM6
SLC2A3	RCAN1	ATP1A2	LIMA1	NXPH1	TMEM161B-AS1	IGFBP7	KLK10	PDHB	RND3	FAM162A	MYC	FAM46A	PER1	ISG15
FTL	TAGLN2	S100A16	CA10	HN1	DPYSL3	THBS1	TMBIM1	AKR1B10	PLK2	GPI	LZTS1	CITED1	JUNB	IFIT1
WARS	NPC2	HEY1	PCDHGC3	PFN2	SEPT3	PTHLH	PLAUR	LAD1	SOCS3	LPIN3	GYG2	S100A10	TCN1	AGR2
ERO1L	SERPING1	PCDHGC3	CNTN1	SCG3	PKIA	TNFRSF6B	CLDN7	DSG3	DNAJB1	PLAU	SDCBP	UCN2	ERRFI1	PSCA
XPOT	C8orf4	TTYH1	SCD5	MYT1	ATP1B1	PDLIM7	DUOXA1	MRPL21	DUSP2	ADM	LOXL4	SPHK1	NPTN	PARP14
HSPA5	EMP1	NDRG2	P2RX7	CHD7	DYNC1I1	CAV1	PDZK1IP1	NDUFS7	TSC22D1	ANGPTL4	ETV5	TRIML2	NUFIP2	HERC6
GDF15	APOE	PRCP	CADM2	GPR56	CD200	DKK3	NCCRP1	PSMD6	KLF10	DARS	C1orf85	S100A6	SRSF7	GABRP
ANXA2	CTSB	ATP1B2	TTYH1	TUBA1A	SNAP25	COL17A1	IDS	AHCY	GADD45B	NUPR1	HMCN1	TMEM45A	FLNB	
EPAS1	C3	AGT	FGF12	PCBP4	PAK3	LTBP1	PPL	GBP2	PMAIP1	SERPINE1	OSTM1	CDKN1A	DNAJB4	
LDHA	LGALS3	PLTP	TMEM206	ETV1	NDRG4	COL5A2	ZNF750	TXN2	MAFF	PGAM1	ALDH7A1	UBE2C	MAFF	
P4HA1	MT1E	GPM6B	NEU4	SHD	KIF5A	COL1A1	EMP1	PSMD13	ERRFI1	ALDOA	FOSB	ERO1L	MCL1	
SERTAD1	EMP3	F3	FXYD6	TNR	UCHL1	FHL2	CLDN1	NOP16	SLC38A2	DAAM1	RAB38	SLC16A6	PLEKHO2	
PFKP	SERPINA3	RAB31	RNF13	AMOTL2	ENO2	TIMP3	CRB3	EIF4EBP1	IRF1	CXADR	ELOVL2	CHI3L1	CHST11	
PGK1	ACTN1	PPAP2B	RTKN	DBN1	KIF5C	PLAU	CYB5R1	MRPL12	TOB1	SEMA4B	MLPH	FN1	MAP1LC3B	
EGLN3	PRDX6	ANXA5	GPM6B	HIP1	DDAH2	LGALS1	DSC2	HSD17B10	ID2	CA9	PLK2	S100A16	SOD2	
SLC6A6	IGFBP7	TSPAN7	LMF1	ABAT	TUBB2A	PSMD2	S100P	LGALS7B	KLF6	CIB1	CHL1	CRIP1	NR4A3	
